id,name,score1,score2
1,student_1,93,90
2,student_2,77,81
3,student_3,65,58
4,student_4,50,60
5,student_5,65,98
6,student_6,86,83
7,student_7,97,67
8,student_8,75,83
9,student_9,94,87
10,student_10,68,87
11,student_11,58,74
12,student_12,82,66
13,student_13,56,94
14,student_14,92,93
15,student_15,96,81
16,student_16,89,78
17,student_17,64,65
18,student_18,99,66
19,student_19,84,57
20,student_20,68,87
21,student_21,69,61
22,student_22,91,58
23,student_23,92,93
24,student_24,99,69
25,student_25,76,51
26,student_26,85,76
27,student_27,83,58
28,student_28,60,77
29,student_29,77,59
30,student_30,98,81
31,student_31,82,56
32,student_32,62,78
33,student_33,96,99
34,student_34,62,89
35,student_35,75,53
36,student_36,51,78
37,student_37,88,84
38,student_38,51,58
39,student_39,89,56
40,student_40,58,79
41,student_41,66,50
42,student_42,52,94
43,student_43,78,78
44,student_44,98,64
45,student_45,72,65
46,student_46,77,58
47,student_47,61,78
48,student_48,94,68
49,student_49,81,73
50,student_50,95,98
51,student_51,87,95
52,student_52,71,94
53,student_53,84,60
54,student_54,84,94
55,student_55,77,78
56,student_56,68,84
57,student_57,79,99
58,student_58,50,59
59,student_59,56,97
60,student_60,75,62
61,student_61,64,90
62,student_62,96,56
63,student_63,64,62
64,student_64,88,92
65,student_65,56,89
66,student_66,54,74
67,student_67,67,88
68,student_68,89,52
69,student_69,94,62
70,student_70,87,52
71,student_71,65,63
72,student_72,95,82
73,student_73,96,69
74,student_74,83,85
75,student_75,98,85
76,student_76,62,80
77,student_77,81,66
78,student_78,51,77
79,student_79,73,85
80,student_80,89,87
81,student_81,99,97
82,student_82,71,74
83,student_83,87,67
84,student_84,89,59
85,student_85,90,97
86,student_86,64,78
87,student_87,64,62
88,student_88,91,95
89,student_89,63,54
90,student_90,75,89
91,student_91,56,62
92,student_92,77,100
93,student_93,62,76
94,student_94,52,94
95,student_95,93,62
96,student_96,79,91
97,student_97,99,77
98,student_98,75,78
99,student_99,91,68
100,student_100,68,89
101,student_101,80,100
102,student_102,70,65
103,student_103,78,95
104,student_104,68,61
105,student_105,50,56
106,student_106,60,66
107,student_107,79,84
108,student_108,57,87
109,student_109,67,93
110,student_110,63,100
111,student_111,75,80
112,student_112,81,53
113,student_113,70,52
114,student_114,76,62
115,student_115,74,52
116,student_116,85,63
117,student_117,97,54
118,student_118,68,83
119,student_119,92,57
120,student_120,98,78
121,student_121,68,76
122,student_122,59,61
123,student_123,100,79
124,student_124,99,66
125,student_125,93,62
126,student_126,86,93
127,student_127,50,86
128,student_128,52,91
129,student_129,51,94
130,student_130,50,94
131,student_131,81,55
132,student_132,71,71
133,student_133,69,94
134,student_134,66,51
135,student_135,50,83
136,student_136,73,84
137,student_137,77,64
138,student_138,63,94
139,student_139,59,81
140,student_140,55,53
141,student_141,53,55
142,student_142,51,75
143,student_143,88,88
